Text,Experts,gpt-3.5-turbo CoT,gpt-4-turbo CoT,gpt-3.5-turbo CARP,gpt-4-turbo CARP,gpt-3.5-turbo INSTRUCTION,gpt-4-turbo INSTRUCTION,gpt-3.5-turbo FEW2,gpt-4-turbo FEW2
"@ashutuptiwari Yeah looks like compilation would be successful, formatting should be the only one remaining.",Approval,Status of actions,Status of actions,"{""Status of actions""}","```json
{
  ""Status of actions"": true,
  ""Clarifying"": true
}
```","[""Problem""]","This response was truncated by the cut-off limit (max tokens). Open the sidebar, Increase the parameter in the settings and then regenerate.
-------------------------
```json
{
  ""Status of actions"": ""Informing others about the actions being performed or completed"",
  ""Clarifying"": ""Providing additional information to explain previously added information""
}
```",Status of actions,Status of actions
Thank you! Saving GIFs and persisting metadata works now!,Approval,- Approval,- Approval,"[""Status of actions""]","```json
{
  ""Status of actions"": true,
  ""Approval"": true
}
```","[""Status of actions""]","```json
{
  ""Status of actions"": ""Informing others about the actions being performed or completed"",
  ""Approval"": ""Agreement with the proposal, idea, decision""
}
```","Approval, Status of actions",Status of actions
"For fixing the test, yes option 1 is the right route. But I also want to decide on the file scheme behavior, whether we want to maintain this difference or align with browser behavior. There are obvious advantages this. /cc @zcbenz thoughts ?",Approval,"Question, Call to action","Question, Call to action","{
  ""Question"": true,
  ""Procedural suggestion"": true
}","```json
{
  ""Solution"": true,
  ""Question"": true,
  ""Call to action"": true
}
```","[""Question""]","```json
{
  ""Solution"": true,
  ""Question"": true,
  ""Call to action"": true
}
```","Question, Call to action","Solution, Question"
"I think @Rajdeep1311 's suggestion of adding mongo to docker compose would be nice. It would remove step 2 of the readme and as a small bonus allows for offline development, whenever that's required :)",Approval,"- Solution
- Approval","- Solution
- Approval","{""Solution""}","```json
[""Solution"", ""Approval""]
```","{
  ""Solution"": true,
  ""Procedural suggestion"": true
}","```json
[""Approval"", ""Solution""]
```","Solution, Personal responsibility",Solution
I would say that the second option would probably be optimal for the purposes of this PR: to update tests to reflect the behavior your PR is designed to create,Approval,"Solution, Procedural suggestion","Solution, Procedural suggestion","[""Solution""]","```json
{
  ""Solution"": true,
  ""Clarifying"": true
}
```","[""Solution"", ""Procedural suggestion""]","```json
{
  ""Approval"": true,
  ""Clarifying"": true
}
```","Solution, Approval",Solution
@zcbenz Ok. Is it possible to somehow build a production ready app using the GitHub master branch of electron?,Approval,Question,Question,"{""Question""}","```json
{
  ""Question"": true
}
```","[""Question""]","```json
{
  ""Question"": true
}
```",Question,Question
@elronalds interested - is there anything in particular that support for that would add over and above just blocking out areas with a solid background in css?,Approval,Question,Question,"{""Question""}","```json
{
  ""Question"": true,
  ""Clarifying"": true
}
```","[""Question""]","```json
[""Question""]
```",Question,Question
"Yep, you are right. And it seems the travis ia32 job broken.",Approval,"Problem, Status of actions","Problem, Status of actions","{""Problem""}","```json
{
  ""Problem"": true
}
```","[""Problem"", ""Status of actions""]","```json
[""Problem""]
```","Problem, Status of actions",Problem
"sorry @18feb06 i didnt understand the issue at first
 
 tested it's working 👍",Approval,"Clarifying, Approval","Clarifying, Approval","[""Clarifying""]","```json
{
  ""Clarifying"": true,
  ""Status of actions"": true,
  ""Approval"": true
}
```","[""Clarifying""]","```json
[
  ""Clarifying"",
  ""Approval""
]
```","Clarifying, Approval","Personal responsibility, Approval"
@polymahh year sure on it.,Approval,Approval,Approval,"[""Status of actions""]","```json
{
  ""Clarifying"": true
}
```","[""Personal responsibility""]","```json
{
  ""Clarifying"": true
}
```",Personal responsibility,Personal responsibility
