text,category,category2
"""If you like, you can also add missing translations""",calltoaction,
"""Would you check if 'Clipboard' can be made shorter in Ukrainian and Russian?""",calltoaction,
"""Thanks. I expected a more ugly change with more C code but this PR seems ok!""",approval,
Listening to the windows close event is good enough. Nice!,approval,
Thanks! It works!,approval,
Thanks! It works on Manjaro KDE and Ubuntu.,approval,
"Ok, sounds good",approval,
It works nice!,approval,
LGTM. Thanks!,approval,
Maybe It should be.,approval,
Thank you! Saving GIFs and persisting metadata works now!,approval,
"Yeah, I am fine with that 👍",approval,
"Ok, got it.",approval,
"Hey @shakeel-3 ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @shivansh-bhatnagar18 ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @adarsh-jha-dev ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @nabeel001 👋,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"That's fine @nabeel001 .
 
 You don't need to refill.
 
 .
 
 Thanks for your contribution! : )",approval,
"Hey @HarshitVashisht11 👋,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @ashh1215
 
 Thanks for your interest in contributing to hyperswitch.
 
 Let us know if you need any assistance from our end.
 
 .
 
 Also, even if hacktoberfest is over, we should celebrate open source everyday and we are open for more contributions from you.
 
 We would still be rewarding folks with goodies even if the PR gets merged post hacktoberfest.
 
 May the Source be with you!",approval,
"Hey @mdrokz ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @SagarDevAchar ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @daniloff200 ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @amitroy-thedev ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @HeetVekariya ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Yes, the code in the mentioned change can be removed.",approval,
"Hey @HeetVekariya ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
"Hey @Suraj3240 ,
 
 Thanks a bunch for all your contributions! We've got a little something for you to show our appreciation.
 
 Just take a moment to fill out this form, and get ready for some awesome swag coming your way.
 
 Thanks!",approval,
